0	839.0	839.0
1	839.0	-4.0
2	839.0	2.0
3	839.0	43.0
4	839.0	120.0
5	839.0	34.0
6	839.0	4.0
7	839.0	-6.0
8	839.0	18.0
9	839.0	-10.0
10	839.0	2.0
11	839.0	34.0
12	839.0	-6.0
13	839.0	38.0
14	839.0	50.0
15	839.0	36.0
16	839.0	54.0
17	839.0	50.0
18	839.0	2.0
19	839.0	-10.0
20	839.0	-42.0
21	839.0	40.0
22	839.0	-16.0
23	839.0	76.0
24	839.0	26.0
25	839.0	56.0
26	839.0	44.0
27	839.0	26.0
28	839.0	-12.0
29	839.0	10.0
30	839.0	22.0
31	839.0	44.0
32	839.0	40.0
33	839.0	16.0
34	839.0	22.0
35	839.0	-20.0
36	839.0	50.0
37	839.0	6.0
38	839.0	0.0
39	839.0	64.0
40	839.0	56.0
41	839.0	18.0
42	839.0	19.0
43	839.0	54.0
44	839.0	90.0
45	839.0	8.0
46	839.0	-12.0
47	839.0	56.0
48	839.0	-26.0
49	839.0	54.0
50	839.0	-24.0
51	839.0	8.0
52	839.0	-12.0
53	839.0	48.0
54	839.0	26.0
55	839.0	24.0
56	839.0	28.0
57	839.0	12.0
58	839.0	58.0
59	839.0	12.0
60	839.0	8.0
61	839.0	-22.0
62	839.0	18.0
63	839.0	6.0
64	839.0	8.0
65	839.0	16.0
66	839.0	40.0
67	839.0	48.0
68	839.0	6.0
69	839.0	0.0
70	839.0	20.0
71	839.0	12.0
72	839.0	56.0
73	839.0	62.0
74	839.0	4.0
75	839.0	22.0
76	839.0	26.0
77	839.0	26.0
78	839.0	72.0
79	839.0	10.0
80	839.0	8.0
81	839.0	50.0
82	839.0	12.0
83	839.0	70.0
84	839.0	28.0
85	839.0	-26.0
86	839.0	66.0
87	839.0	60.0
88	839.0	10.0
89	839.0	34.0
90	839.0	90.0
91	839.0	-18.0
92	839.0	70.0
93	839.0	-18.0
94	839.0	-26.0
95	839.0	48.0
96	839.0	52.0
97	839.0	26.0
98	839.0	-28.0
99	839.0	16.0
100	839.0	68.0
101	839.0	76.0
102	839.0	-12.0
103	839.0	-22.0
104	839.0	-8.0
105	839.0	40.0
